"","indiv_ID","tree.id","leaf_num","seed_mass","area","thickness","lma","seed_num","site","island","species","indiv"
"155","GUA.1.RT","1",6,0.175,NA,0.172,NA,NA," racetrack"," guam"," guamia","GUA.1.RT.a"
"156","GUA.1.RT","1",7,0.2098,NA,0.182,NA,NA," racetrack"," guam"," guamia","GUA.1.RT.a"
"157","GUA.1.RT","1",8,0.2116,NA,0.152,NA,NA," racetrack"," guam"," guamia","GUA.1.RT.a"
"158","TRI.1.RT","1",1,0.3016,27.88653846,0.305,0.0108152541210022,NA," racetrack"," guam"," triphasia","TRI.1.RT.a"
"159","TRI.1.RT","1",2,0.164,18.16846154,0.296,0.00902663110131448,NA," racetrack"," guam"," triphasia","TRI.1.RT.a"
"160","TRI.1.RT","1",3,0.1574,17.61076923,0.264,0.00893771293827805,NA," racetrack"," guam"," triphasia","TRI.1.RT.a"
"161","TRI.1.RT","1",4,0.1053,12.78807692,0.284,0.00823423261048073,NA," racetrack"," guam"," triphasia","TRI.1.RT.a"
"162","TRI.1.RT","1",5,0.098,11.82807692,0.273,0.00828537053511147,NA," racetrack"," guam"," triphasia","TRI.1.RT.a"
"163","TRI.1.RT","1",6,0.1045,17.14346154,0.272,0.0060956184231624,NA," racetrack"," guam"," triphasia","TRI.1.RT.a"
"164","TRI.1.RT","1",7,0.1029,17.31153846,0.265,0.00594401244220787,NA," racetrack"," guam"," triphasia","TRI.1.RT.a"
"165","TRI.1.RT","1",8,0.869,13.96096154,0.257,0.0622449963428522,NA," racetrack"," guam"," triphasia","TRI.1.RT.a"
"166","PRE.3.ANAO","3",1,0.579,126.157704959514,0.191,0.00458949376247618,NA," anao"," guam"," premna","PRE.3.ANAO.a"
"167","PRE.3.ANAO","3",2,0.583,151.111146255061,0.187,0.00385808733801776,NA," anao"," guam"," premna","PRE.3.ANAO.a"
"168","PRE.3.ANAO","3",3,0.4959,168.736990950226,0.176,0.00293889322790093,NA," anao"," guam"," premna","PRE.3.ANAO.a"
"169","PRE.3.ANAO","3",4,0.3727,103.422134238311,0.175,0.00360367732444203,NA," anao"," guam"," premna","PRE.3.ANAO.a"
"170","PRE.3.ANAO","3",5,0.4882,146.815233785822,0.162,0.00332526800803382,NA," anao"," guam"," premna","PRE.3.ANAO.a"
"171","PRE.3.ANAO","3",6,0.4164,156.37443438914,0.193,0.00266283936774334,NA," anao"," guam"," premna","PRE.3.ANAO.a"
"172","PRE.3.ANAO","3",7,0.4094,171.685043304464,0.181,0.00238459910147197,NA," anao"," guam"," premna","PRE.3.ANAO.a"
"173","PRE.3.ANAO","3",8,0.5579,127.392384243837,0.196,0.00437938267119754,NA," anao"," guam"," premna","PRE.3.ANAO.a"
"174","NEI.1.NBLAS","1",1,1.2572,220.2427426,0.339,0.00570824711479052,NA," nblas"," guam"," neisosperma","NEI.1.NBLAS.a"
"175","NEI.1.NBLAS","1",2,1.4877,267.2857356,0.332,0.0055659535914269,NA," nblas"," guam"," neisosperma","NEI.1.NBLAS.a"
"176","NEI.1.NBLAS","1",3,1.5121,248.6409386,0.322,0.00608146031186193,NA," nblas"," guam"," neisosperma","NEI.1.NBLAS.a"
"177","NEI.1.NBLAS","1",4,1.159,212.543074,0.329,0.00545301231504725,NA," nblas"," guam"," neisosperma","NEI.1.NBLAS.a"
"178","NEI.1.NBLAS","1",5,1.0931,266.0402961,0.339,0.00410877606146222,NA," nblas"," guam"," neisosperma","NEI.1.NBLAS.a"
"179","NEI.1.NBLAS","1",6,1.4171,293.1775805,0.379,0.00483358924506849,NA," nblas"," guam"," neisosperma","NEI.1.NBLAS.a"
"180","NEI.1.NBLAS","1",7,1.1699,242.3332131,0.329,0.00482765026318219,NA," nblas"," guam"," neisosperma","NEI.1.NBLAS.a"
"181","NEI.1.NBLAS","1",8,1.8058,292.3813867,0.363,0.006176179750638,NA," nblas"," guam"," neisosperma","NEI.1.NBLAS.a"
"182","GUA.1.NBLAS","1",1,0.4276,70.68633655,0.193,0.00604925960051045,NA," nblas"," guam"," guamia","GUA.1.NBLAS.a"
"183","GUA.1.NBLAS","1",2,0.2118,44.56728991,0.167,0.00475236435573518,NA," nblas"," guam"," guamia","GUA.1.NBLAS.a"
"184","GUA.1.NBLAS","1",3,0.1789,38.94945552,0.173,0.0045931322430974,NA," nblas"," guam"," guamia","GUA.1.NBLAS.a"
"185","GUA.1.NBLAS","1",4,0.2778,54.86800904,0.184,0.00506305960177045,NA," nblas"," guam"," guamia","GUA.1.NBLAS.a"
