species,disp,island,site,fence,numalive,date,observer,dataentry,dateenter,uniqueidsppfence,canopydate,north,east,south,west,avgcover,avgopen,doubleplant,plantdt,dist,soil,numseedplant,DDsurvival_notes,bird,age,centavgopen,Freq,area,dens_100m,seedsize,se_size,sd_size,n,regdens,se_abund.x,disp.y,regdenswd,se_abund.y
aglaia,no,guam,race,A4,9,7/13/11,km,Jeff Brown,6/2/13,raceA4aglaia,23-Jun-11,90,96,92,92,92.5,7.5,no,12/13/10,far,karst,10,Green tags,no,212,-1.621369295,334,3400,982.3529412,179.1955,8.262894501,26.12956669,10,707.0261438,90.70015498,yes,133.2607117,38.65835572
aglaia,no,guam,race,C1,5,7/13/11,km,Jeff Brown,6/2/13,raceC1aglaia,23-Jun-11,90,93,95,92,92.5,7.5,no,12/13/10,far,karst,10,Green tags,no,212,-1.621369295,334,3400,982.3529412,179.1955,8.262894501,26.12956669,10,707.0261438,90.70015498,yes,133.2607117,38.65835572
aglaia,no,guam,race,C4,10,7/13/11,km,Jeff Brown,6/2/13,raceC4aglaia,23-Jun-11,93,93,93,92,92.75,7.25,no,12/13/10,near,karst,10,Green tags,no,212,-1.871369295,334,3400,982.3529412,179.1955,8.262894501,26.12956669,10,707.0261438,90.70015498,yes,133.2607117,38.65835572
aglaia,no,guam,race,D3,7,7/13/11,km,Jeff Brown,6/2/13,raceD3aglaia,23-Jun-11,94,94,94,93,93.75,6.25,no,12/13/10,near,karst,10,Green tags,no,212,-2.871369295,334,3400,982.3529412,179.1955,8.262894501,26.12956669,10,707.0261438,90.70015498,yes,133.2607117,38.65835572
aglaia,no,guam,race,E1A,10,7/13/11,km,Jeff Brown,6/2/13,raceE1Aaglaia,23-Jun-11,94,92,92,93,92.75,7.25,no,12/13/10,far,mix,10,Green tags,no,212,-1.871369295,334,3400,982.3529412,179.1955,8.262894501,26.12956669,10,707.0261438,90.70015498,yes,133.2607117,38.65835572
aglaia,no,guam,race,E2A,4,7/13/11,km,Jeff Brown,6/2/13,raceE2Aaglaia,23-Jun-11,93,93,91,92,92.25,7.75,no,12/13/10,near,karst,10,"Green tags; Note: on 17-Jan-11 data sheet, KM writes that Pr planted in E2 and Ag in E2X - check?",no,212,-1.371369295,334,3400,982.3529412,179.1955,8.262894501,26.12956669,10,707.0261438,90.70015498,yes,133.2607117,38.65835572
aglaia,no,guam,ritd,A4,9,7/13/11,icc,Jeff Brown,6/3/13,ritdA4aglaia,23-Jun-11,91,93,94,88,91.5,8.5,no,12/16/10,near,mix,10,NA,no,209,-0.621369295,157,3600,436.1111111,179.1955,8.262894501,26.12956669,10,707.0261438,90.70015498,yes,133.2607117,38.65835572
aglaia,no,guam,ritd,B2,10,7/13/11,icc,Jeff Brown,6/3/13,ritdB2aglaia,23-Jun-11,90,95,94,90,92.25,7.75,no,12/16/10,far,mix,10,NA,no,209,-1.371369295,157,3600,436.1111111,179.1955,8.262894501,26.12956669,10,707.0261438,90.70015498,yes,133.2607117,38.65835572
aglaia,no,guam,ritd,C1A,9,7/13/11,icc,Jeff Brown,6/3/13,ritdC1Aaglaia,23-Jun-11,93,91,88,94,91.5,8.5,no,12/16/10,near,mix,10,6/22/11: HSR- I changed # seedlings planted from 9 to 10 because I think 9 was a typo. ,no,209,-0.621369295,157,3600,436.1111111,179.1955,8.262894501,26.12956669,10,707.0261438,90.70015498,yes,133.2607117,38.65835572
aglaia,no,guam,ritd,C2,10,7/13/11,icc,Jeff Brown,6/3/13,ritdC2aglaia,23-Jun-11,93,93,92,95,93.25,6.75,no,12/17/10,near,mix,10,NA,no,208,-2.371369295,157,3600,436.1111111,179.1955,8.262894501,26.12956669,10,707.0261438,90.70015498,yes,133.2607117,38.65835572
