"lengthdata","weightdata","weight","length","year","month_num","day","nation","gear","port","lat","lon","newlat","newlon"
"500",NA,NA,"500",1877,NA,NA,"Spain",NA,NA,39.43,-0.3,39.43,-0.3
"500",NA,NA,"ca. 500",1877,NA,NA,"Greece",NA,NA,37.43,24.94,37.43,24.94
NA,NA,NA,NA,1877,NA,NA,NA,NA,NA,34.51,18.07,34.51,18.07
"550",2300,"2300","500 or 600",1878,1,NA,"Spain","surrounding nets",NA,39.91,0.35,39.93,0.36
"391",NA,NA,"391",1878,2,NA,"Turkey",NA,NA,41.02,29,41.02,29
"371",NA,NA,"371",1878,6,17,"Croatia",NA,NA,44.69,14.39,44.69,14.39
NA,NA,NA,NA,1878,8,9,"Croatia",NA,NA,45.23,13.59,45.23,13.59
NA,NA,NA,NA,1878,NA,NA,"Croatia",NA,NA,43.66,15.53,43.66,15.53
NA,NA,NA,NA,1878,NA,NA,"Spain",NA,NA,39.95,0.03,39.95,0.03
"500",NA,NA,"500",1878,NA,NA,"Spain",NA,NA,39.43,-0.3,39.43,-0.3
"382",NA,NA,"382",1879,5,21,"Croatia",NA,NA,44.82,14.35,44.82,14.35
NA,NA,NA,NA,1879,6,NA,"Croatia",NA,NA,44.91,14.6,44.91,14.6
NA,NA,NA,NA,1879,6,17,NA,NA,NA,42.72,15.89,42.72,15.89
NA,NA,NA,NA,1879,6,17,NA,NA,NA,42.71,15.87,42.71,15.87
"423.5",NA,NA,"402 o 445",1879,7,23,"Croatia",NA,NA,43.5,16.43,43.5,16.43
"530",NA,NA,"530",1879,10,21,"Croatia",NA,NA,44.75,14.39,44.74,14.39
"250",NA,NA,"250",1879,11,5,"Croatia",NA,NA,43.1,17.34,43.1,17.34
"250",NA,NA,"250",1879,11,5,"Italy",NA,NA,45.67,13.39,45.67,13.39
"405",NA,NA,"405",1879,NA,NA,"Italy","tuna trap",NA,39.18,8.31,39.18,8.32
"308",NA,NA,"308",1879,NA,NA,"Italy",NA,NA,43.87,10.23,43.87,10.23
NA,3000,"3000",NA,1880,5,NA,"Italy",NA,NA,42.82,10.32,42.82,10.32
"490",NA,NA,"490",1880,NA,NA,"Italy",NA,NA,45.38,13.04,45.38,13.04
"300",NA,NA,"300",1880,NA,NA,"Italy",NA,NA,37.48,15.1,37.48,15.1
"548",1814,"1814","548",1880,NA,NA,NA,NA,NA,34.62,18.03,34.62,18.03
NA,NA,NA,NA,1880,NA,NA,NA,NA,NA,34.53,18.03,34.53,18.03
NA,NA,NA,NA,1880,NA,NA,"Italy",NA,NA,44.07,9.87,44.07,9.87
"315",NA,NA,"315",1880,NA,NA,"Italy",NA,NA,43.87,10.23,43.87,10.23
"460",NA,NA,"460",1880,NA,NA,"Italy",NA,NA,45.65,13.62,45.65,13.62
"391",NA,NA,"391",1881,2,NA,"Turkey",NA,NA,41.02,28.99,41.02,28.99
"380",NA,NA,"380",1881,4,22,"Croatia",NA,NA,44.75,14.76,44.75,14.76
"405",NA,NA,"405",1881,10,16,"Croatia",NA,NA,44.75,14.76,44.75,14.76
"470",1500,"1500","470",1881,11,17,"Turkey","tuna trap",NA,41.01,29,41.01,29
