"lengthdata","weightdata","weight","length","year","month_num","day","nation","gear","port","lat","lon","newlat","newlon"
"600",NA,NA,"600 ca.",1941,8,NA,"Spain",NA,NA,39.89,3.2,39.89,3.2
"600",1600,"1600","600",1941,12,NA,"Spain","enclosed tuna nets",NA,39.89,3.19,39.89,3.19
"445",900,"900","445",1941,NA,NA,"Spain","enclosed tuna net",NA,39.89,3.19,39.89,3.19
"422",800,"800","400, 444 (est)",1942,2,1,"Spain","tuna trap",NA,39.7,3.02,39.89,3.32
NA,NA,NA,NA,1942,NA,NA,"Greece",NA,NA,40.81,25.89,40.81,25.89
"428",800,"800","428",1943,2,NA,"Spain","enclosed tuna nets",NA,39.89,3.19,39.89,3.19
"523",1500,"1500","523",1943,2,NA,"Spain","enclosed tuna nets",NA,39.89,3.19,39.89,3.18
NA,NA,NA,NA,1943,NA,NA,"France",NA,NA,43.54,4.14,43.53,4.03
"230",NA,NA,"230",1943,NA,NA,"Greece",NA,NA,40.93,24.4,40.93,24.4
"500",NA,NA,"500",1943,NA,NA,"Greece",NA,NA,37.44,24.96,37.44,24.96
"180",NA,NA,"180",1943,NA,NA,"Greece",NA,NA,40.57,24.65,40.57,24.65
"530.5",1350,"1350","535, 526 (est)",1944,2,12,"Spain","tuna trap",NA,39.7,3.02,39.86,3.28
"422.5",800,"800",">400, 444 (est)",1945,NA,NA,"Spain","tuna trap",NA,39.7,3.02,39.89,3.19
"439",1000,"1000",">400, 477 (est)",1945,NA,NA,"Spain","tuna trap",NA,39.7,3.02,39.89,3.19
NA,NA,NA,NA,1945,NA,NA,"Croatia",NA,NA,45.55,13.72,45.55,13.72
"600",NA,NA,"Ca. 600",1945,NA,NA,"Italy",NA,NA,42.47,14.24,42.47,14.24
NA,NA,NA,NA,1945,NA,NA,"France",NA,NA,43.06,5.89,43.06,5.89
"550",1790,"1790","Ca. 550 (est)",1946,8,10,"Spain","tuna trap",NA,38.16,-0.48,38.15,-0.48
NA,NA,NA,NA,1946,NA,NA,"Croatia",NA,NA,45.28,14.58,45.28,14.58
"800",NA,NA,"800",1946,NA,NA,"France",NA,NA,43.54,4.14,43.53,4.03
NA,NA,NA,NA,1946,8,10,"Tunisia","tuna trap",NA,36.98,8.75,36.98,8.75
"300",300,"300","300",1947,5,NA,NA,NA,NA,43.46,15.75,43.46,15.75
"950",3590,"3590","Ca. 900-1000",1947,NA,NA,"Italy","tuna trap",NA,38.07,12.82,38.07,12.82
"640",NA,NA,"Ca. 640",1948,9,22,"Greece",NA,NA,37.95,23.6,37.95,23.59
NA,NA,NA,NA,1950,5,1,"Italy",NA,NA,42.81,10.2,42.81,10.2
"750",NA,NA,"700-800",1950,8,NA,"Croatia",NA,NA,43.58,15.92,43.58,15.92
"400",NA,NA,"400",1950,NA,NA,"Turkey","hand line intended for tuna",NA,40.88,29.07,40.88,29.07
NA,NA,NA,NA,1950,NA,NA,"France",NA,NA,43.1,5.92,43.1,5.92
NA,NA,NA,NA,1950,NA,NA,"Italy",NA,NA,43.09,10.53,43.09,10.53
NA,NA,NA,NA,1950,NA,NA,"Croatia",NA,NA,45.07,13.63,45.07,13.63
NA,NA,NA,NA,1951,8,17,"Greece",NA,NA,39.61,19.93,39.63,19.93
"450",NA,NA,"Ca. 400-500",1952,NA,NA,"Italy","tuna trap",NA,42.82,10.28,42.83,10.26
NA,NA,NA,NA,1953,5,NA,"Italy","tuna trap",NA,37.94,12.28,37.94,12.32
NA,NA,NA,NA,1953,5,NA,"Italy","tuna trap",NA,37.94,12.28,37.94,12.32
"550",1701,">1700","550",1953,5,29,"Italy","tuna trap",NA,37.94,12.28,37.94,12.32
"600",1500,"1500","600",1953,6,20,"Tunisia","tuna trap",NA,37.02,10.91,37.02,10.9
"450",1500,"1500","450",1954,3,30,"Turkey","hand line intended for tuna",NA,40.79,29.27,40.79,29.27
"567.5",1600,"1400 or 2000, 1400 (Mojetta.etal.1997)","700 or 500 (Mojetta.etal.1997) or 520-550 (deMaddalena.Heim.2012",1954,5,16,"Italy","tuna trap",NA,44.35,9.15,44.35,9.15
NA,NA,NA,NA,1954,5,16,"Italy","tuna trap",NA,44.35,9.15,44.35,9.15
"80",NA,NA,"80",1954,6,NA,"Italy","hook and line",NA,44.34,9.21,44.34,8.9
"550",1500,"1500","550",1954,10,2,"Croatia",NA,NA,44.46,15.04,44.46,15.04
NA,1800,"1800",NA,1954,5,20,"Tunisia","tuna trap",NA,37.02,10.91,37.02,10.9
NA,1800,"1800",NA,1954,5,20,"Tunisia","tuna trap",NA,37.02,10.91,37.02,10.9
NA,1500,"1500",NA,1955,2,1,"Turkey","hook and line",NA,41.05,29.03,41.05,29.04
NA,NA,NA,NA,1955,8,NA,"Montenegro",NA,NA,42.28,18.84,42.28,18.85
"460",NA,NA,"460",1955,12,10,"Croatia",NA,NA,44.99,14.9,44.99,14.9
"700",NA,NA,"700",1956,3,25,"Italy",NA,NA,44.39,8.95,44.39,8.95
"618",3000,"ca. 3000","618",1956,4,15,"Turkey","hand line intended for tuna",NA,40.86,29.11,40.86,29.11
NA,2500,"2500",NA,1956,4,15,"Turkey","hook and line",NA,41.01,28.99,41.01,28.99
"500",NA,NA,"Ca. 500",1956,7,NA,"Malta",NA,NA,35.85,14.57,35.9,14.53
NA,NA,NA,NA,1956,8,NA,"Malta",NA,NA,35.82,14.45,35.81,14.42
NA,NA,NA,NA,1956,8,NA,"Malta",NA,NA,35.79,14.41,35.79,14.41
"420",600,"600","420",1956,9,NA,"Italy","Hook and line",NA,41.22,13.07,41.22,13.07
"545.9",2000,"2000","589",1956,10,13,"France","trawl",NA,43.5,3.88,43.48,3.91
"565",NA,NA,"565",1956,10,12,"France",NA,NA,43.39,3.7,43.39,3.7
NA,NA,NA,NA,1956,NA,NA,"France",NA,NA,43.54,4.14,43.53,4.03
"520",1550,"1300 or 1800","520",1956,5,16,"Tunisia","tuna trap",NA,37.02,10.91,37.02,10.9
"410",1300,"1300","410",1956,5,22,"Tunisia","tuna trap",NA,37.02,10.91,37.02,10.9
NA,1800,"1800",NA,1956,NA,NA,"France","drift net",NA,43.34,5.26,43.34,5.33
"600",NA,NA,"600",1956,NA,NA,"Italy",NA,NA,44.14,9.65,44.14,9.65
"400",NA,NA,"400",1956,NA,NA,"Croatia",NA,NA,45.1,14.7,45.1,14.7
NA,NA,NA,NA,1957,NA,NA,"Turkey",NA,NA,36.63,35.89,36.63,35.89
NA,400,"400",NA,1957,NA,NA,"France","line",NA,42.17,8.41,42.17,8.41
"500",2500,"2500","500",1958,3,5,"Turkey",NA,NA,40.87,29.11,40.87,29.11
"800",NA,NA,"ca. 800",1958,12,28,"Turkey",NA,NA,41,28.99,41,28.99
"700",2000,"ca. 2000","ca. 700",1958,12,25,"Turkey",NA,NA,40.88,29.11,40.88,29.11
NA,NA,NA,NA,1958,NA,NA,"Spain","enclosed tuna nets",NA,39.8,3.23,39.89,3.19
"700",NA,NA,"ca. 700",1958,NA,NA,"Turkey","hook",NA,41,28.99,41,28.99
"457",NA,NA,"457",1959,2,NA,"Italy","tuna trap",NA,41.24,9.16,41.23,9.16
"450",1500,"1500","450",1959,6,16,"Italy","tuna trap",NA,38.16,14.93,38.18,14.89
"600",2000,"2000","600",1959,8,28,"Italy","tuna trap",NA,38.16,14.93,38.18,14.89
"600",2750,"ca. 1500 to 4000","500 to 700",1959,NA,NA,"Turkey",NA,NA,40.99,28.99,40.99,28.99
NA,NA,NA,NA,1959,NA,NA,"France",NA,NA,43.1,5.92,43.1,5.92
NA,NA,NA,NA,1960,NA,NA,"Italy",NA,NA,42.76,10.42,42.76,10.42
"460",882,"750-780 (Storai.etal.2005) or 1000","600-500 or 360-380 (Storai.etal. 2005)",1960,8,18,"Italy","trammel net",NA,42.82,10.43,42.86,10.43
"135",NA,NA,"135",1960,8,NA,"Italy",NA,NA,37.64,12.59,37.64,12.59
"750",NA,NA,"Ca. 700-800",1960,NA,NA,"Italy",NA,NA,41.21,13.13,41.21,13.13
NA,NA,NA,NA,1960,9,23,"Algeria",NA,NA,36.95,7.86,36.95,7.86
"600",NA,NA,"600",1960,NA,NA,"Italy","tuna trap",NA,36.69,15.15,36.66,15.14
"653",1500,"Ca. 1500","Ca. 640 (666)",1961,6,19,"Italy","harpoon",NA,38.26,15.61,38.26,15.61
"450",NA,NA,"Ca. 450",1961,7,7,"Italy",NA,NA,44.01,12.66,44.07,12.78
NA,NA,NA,NA,1961,9,24,"Croatia",NA,NA,45.33,14.31,45.18,14.31
"500",NA,NA,"Ca. 500",1961,NA,NA,"Italy",NA,NA,44.35,9.15,44.35,9.15
NA,NA,NA,NA,1961,NA,NA,"Italy",NA,NA,41.23,13.04,41.23,13.04
"500",3750,"3750","500",1962,2,NA,"Turkey",NA,NA,41,28.99,41,28.99
"366",500,"500","350, 382 (est)",1962,3,NA,"Spain","tuna trap",NA,39.7,3.02,39.87,3.38
"312",300,"300","300, 324 (est)",1962,3,NA,"Spain","tuna trap",NA,39.7,3.02,39.87,3.37
NA,3000,"3000",NA,1962,3,19,"Turkey",NA,NA,41.05,29.03,41.05,29.03
"480",2000,"2000","480",1962,6,4,"Greece",NA,NA,38.16,21.54,38.16,21.54
NA,NA,NA,NA,1962,8,NA,"Italy",NA,NA,41.23,13.04,41.23,13.03
NA,NA,NA,NA,1962,8,NA,"Italy",NA,NA,41.23,13.04,41.22,13.03
NA,NA,NA,NA,1962,9,2,"Italy",NA,NA,41.21,13.13,41.21,13.13
NA,NA,NA,NA,1962,NA,NA,"Italy",NA,NA,41.23,13.04,41.23,13.04
"500",1500,"1500","500",1962,NA,NA,"Spain",NA,NA,39.95,0.03,39.95,0.03
"701",3000,"Ca. 3000",">700?",1963,3,9,"Italy",NA,NA,38.26,15.61,38.26,15.61
"350",NA,NA,"350",1963,6,NA,"Italy",NA,NA,38.26,15.61,38.26,15.61
NA,NA,NA,NA,1963,6,NA,"Italy","harpoon",NA,38.25,15.61,38.25,15.61
"300",NA,NA,"Ca. 300",1963,6,1,"Greece",NA,NA,39.16,23.09,39.16,23.1
"505.8",1100,"Ca. 1100","Ca. 600 (492-547)",1963,10,22,"Slovenia",NA,NA,45.51,13.51,45.51,13.51
"614.5",2200,"2200","615, 614 (est)",1963,12,26,"Spain","tuna trap",NA,39.7,3.02,39.87,3.38
"441",500,"500","500, 382 (est)",1963,NA,NA,"Spain","tuna trap",NA,39.7,3.02,39.89,3.19
NA,NA,NA,NA,1963,NA,NA,"Spain","enclosed tuna nets",NA,39.8,3.23,39.89,3.19
"530",1400,"1400","535, 510 (est from pictures), 545 (est with Moilllet and Caillet, 1996)",1964,1,NA,"Spain","tuna trap",NA,39.7,3.02,39.87,3.38
"540",2000,"Ca. 2000","Ca. 500 or 580",1964,5,NA,"Malta","line",NA,35.79,14.41,35.79,14.41
"900",1900,"1900","900",1964,7,20,"Italy",NA,NA,42.35,10.32,42.35,10.32
"310",380,"380","300 or 320",1964,11,NA,"Italy","hook and line and harpooned",NA,41.22,13.11,41.22,13.11
"650",NA,NA,"Ca. 650",1964,11,NA,"Italy","hook and line and harpooned",NA,41.2,13.07,41.2,13.07
NA,NA,NA,NA,1964,NA,NA,"France",NA,NA,43.33,5.34,43.33,5.34
"600",NA,NA,"Ca.600",1964,NA,NA,"Italy","tuna trap",NA,37.97,12.27,37.99,12.43
NA,NA,NA,NA,1964,NA,NA,"Italy",NA,NA,42.29,11.43,42.29,11.43
"470",800,"800","440-500",1965,1,NA,"Italy","trap",NA,36.74,15.12,36.76,15.19
"600",1200,"1200","620 cm for Fergusson.solo.1996,
620 cm for Mojetta.etal.1997, 560 cm for Celona.etal.2001",1965,3,9,"Italy","harpoon",NA,38.25,15.61,38.25,15.61
"701",3000,"ca. 3000","> 700",1965,4,1,"Italy","harpoon",NA,38.26,15.61,38.26,15.61
"500",4000,"ca. 4000","500",1965,12,28,"Turkey","hand line intended for tuna",NA,41.04,29,41.04,29
"700",3000,"ca. 3000","700",1965,12,28,"Turkey","hand line intended for tuna",NA,41.02,29,41.02,29
"700",2500,"2500","700 ca.",1965,NA,NA,"Spain","enclosed tuna nets",NA,39.48,2.74,39.48,2.73
"588.5",1000,"1000","700, 477 (est)",1965,NA,NA,"Spain","tuna trap",NA,39.7,3.02,39.89,3.19
NA,NA,NA,NA,1965,NA,NA,"Italy","rifle-harpoon",NA,38.25,15.63,38.25,15.63
NA,NA,NA,NA,1965,NA,NA,"Tunisia",NA,NA,37.52,8.94,37.52,8.94
NA,NA,NA,NA,1965,NA,NA,"Tunisia",NA,NA,36.83,11.1,36.83,11.1
NA,NA,NA,NA,1965,NA,NA,"Tunisia",NA,NA,34.21,10.79,34.21,10.79
"400",2000,"ca. 2000","ca. 400",1966,1,13,"Turkey","harpoon",NA,41.02,28.98,41.02,28.98
"400",2000,"ca. 2000","ca. 400",1966,1,13,"Turkey","harpoon",NA,41.02,28.98,41.02,28.98
NA,NA,NA,NA,1966,1,13,"Turkey","tuna handline",NA,41,28.97,41,28.97
NA,NA,NA,NA,1966,8,16,"Croatia",NA,NA,43.6,15.82,43.6,15.82
NA,1100,"1100","506",1966,NA,NA,"Spain","tuna trap",NA,39.7,3.02,39.89,3.19
NA,1200,"1200","492",1966,NA,NA,"Spain","tuna trap",NA,39.7,3.02,39.89,3.19
NA,NA,NA,NA,1967,NA,NA,"Turkey","tuna hand line",NA,40.86,29.11,40.86,29.11
"500",1300,"1300","500",1967,1,27,"Spain","enclosed tuna nets",NA,39.71,3.46,39.71,3.46
"555.7",1700,"1700","550, 550 (est picture), 567 (est Moillet and Caillet, 1996)",1967,1,NA,"Spain","tuna trap",NA,39.7,3.02,39.87,3.38
"450",NA,NA,"400-500",1967,5,1,"Italy","gill net",NA,42.83,10.26,42.83,10.25
"450",NA,NA,"Ca. 400-500",1967,6,NA,"Italy",NA,NA,38.25,15.63,38.25,15.63
NA,900,"900",NA,1967,7,22,"Italy","gill net",NA,42.37,11,42.38,11.01
"510.7",1700,"1700","515, 450 (est picture), 567 (est Moillet and Caillet, 1996)",1967,10,1,"Spain","trap net",NA,39.7,3.02,39.8,3.15
"523",1500,"1500","523",1967,NA,NA,"Spain","enclosed tuna nets",NA,39.78,3.36,39.78,3.36
"530.5",1350,"1350","535, 526 (est Moillet and Caillet, 1996)",1967,NA,NA,"Spain","tuna trap",NA,39.8,3.36,39.8,3.36
NA,NA,NA,NA,1968,3,NA,"Italy",NA,NA,42.1,11.77,42.1,11.77
"551",NA,NA,"551",1968,3,NA,"Turkey","tuna hand-line",NA,40.99,29,40.99,29
NA,NA,NA,NA,1968,5,5,"Italy","net",NA,42.81,10.2,42.81,10.2
NA,NA,NA,NA,1968,6,NA,"Spain","enclosed tuna nets",NA,39.71,3.46,39.71,3.46
NA,NA,NA,NA,1968,NA,NA,NA,NA,NA,42.65,15.81,42.65,15.81
"200",NA,NA,"Ca. 200",1968,NA,NA,"Croatia","gill net",NA,44.02,15.06,44.02,15.06
"523",1500,"1500","523",1969,2,NA,"Spain","enclosed tuna nets",NA,39.8,3.23,39.81,3.24
"428",800,"800","428",1969,2,NA,"Spain","enclosed tuna nets",NA,39.8,3.23,39.82,3.26
NA,700,"700(gutted)",NA,1969,2,NA,"Spain","enclosed tuna nets",NA,39.8,3.23,39.81,3.25
"477",1000,"1000","477 (est Moillet and Caillet, 1996)",1969,2,NA,"Spain","tuna trap",NA,39.96,3.25,39.96,3.25
"573.5",1250,"1250","550, 597 (est Moillet and Caillet, 1996)",1969,2,NA,"Spain","tuna trap",NA,39.96,3.25,39.96,3.25
"532.7",2000,"2000","550, 535 (est picture), 513 (est Moillet and Caillet, 1996)",1969,2,NA,"Spain","tuna trap",NA,39.96,3.25,39.96,3.25
"665.5",2500,"2500","600, 620 (picture), 800, 642 (est Moillet and Caillet, 1996)",1969,3,NA,"Spain","tuna trap",NA,39.42,2.74,40.81,25.89
NA,NA,NA,NA,1969,NA,NA,NA,NA,NA,43.48,15.83,43.48,15.83
NA,NA,NA,NA,1969,NA,NA,"Greece",NA,NA,39.59,23.21,39.59,23.21
"600",NA,NA,"600",1969,NA,NA,"Italy",NA,NA,43.13,15.17,43.13,15.17
"526",1350,"1350","526 (est Moillet and Caillet, 1996)",1970,1,NA,"Spain","tuna trap",NA,39.96,3.25,39.96,3.25
"460",1000,"1000","460",1970,1,NA,"Spain","enclosed tuna nets",NA,39.89,3.2,39.89,3.2
NA,NA,NA,NA,1970,NA,NA,"Italy","tuna trap",NA,44.32,9.14,44.32,9.14
NA,NA,NA,NA,1970,NA,NA,"Italy","trammel net",NA,42.39,11.09,42.38,11.08
NA,NA,NA,NA,1970,NA,NA,"Italy",NA,NA,38.3,15.52,38.3,15.52
NA,NA,NA,NA,1970,NA,NA,"Italy",NA,NA,39.99,8.31,39.99,8.31
"400",NA,NA,"400",1970,NA,NA,"Italy",NA,NA,37.07,15.3,37.07,15.3
NA,NA,NA,NA,1970,NA,NA,"Croatia",NA,NA,45.32,13.55,45.32,13.55
NA,NA,NA,NA,1970,NA,NA,"Tunisia",NA,NA,37.28,9.88,37.28,9.88
"400",NA,NA,"400",1971,4,NA,"Italy","tuna trap",NA,41.23,9.16,41.23,9.16
NA,NA,NA,NA,1971,9,NA,"Croatia",NA,NA,45.31,14.28,45.18,14.31
"550",1500,"1500","550 ca.",1971,NA,NA,"Spain","enclosed tuna nets",NA,39.76,2.62,39.76,2.62
NA,NA,NA,NA,1971,NA,NA,"Croatia",NA,NA,45.34,14.31,45.18,14.31
"200",NA,NA,"200",1971,NA,NA,"Israel","rod and line",NA,32.6,34.8,32.6,34.8
NA,NA,NA,NA,1972,1,1,"Greece",NA,NA,37.44,24.96,37.44,24.96
"600",NA,NA,"600",1972,8,17,"Croatia",NA,NA,43.78,15.28,43.78,15.28
"460",1300,"1300","460",1972,9,15,"Greece",NA,NA,40.42,22.61,40.42,22.62
NA,NA,NA,NA,1972,NA,NA,"Italy",NA,NA,35.5,12.58,35.5,12.58
NA,NA,NA,NA,1972,NA,NA,"Italy","net",NA,35.58,12.24,35.58,12.24
"400",NA,NA,"400",1972,3,21,"Tunisia",NA,NA,33.5,11.12,33.5,11.12
"400",NA,NA,"400",1972,3,21,"Tunisia",NA,NA,33.5,11.12,33.5,11.12
"185",NA,NA,"185",1972,4,21,"Tunisia",NA,NA,33.5,11.12,33.5,11.12
"574",2000,"2000","574",1972,NA,NA,"Spain","enclosed tuna nets",NA,39.94,3.18,39.94,3.18
NA,2500,"2500","642 (est Moillet and Caillet, 1996)",1972,NA,NA,"Spain","tuna trap",NA,39.7,3.02,39.89,3.19
"550",1920,"1920","550",1973,3,NA,"Malta",NA,NA,35.79,14.41,35.79,14.41
"530",NA,NA,"530",1973,3,NA,"Malta","net",NA,35.93,14.33,35.93,14.33
"462.3",NA,NA,"500",1973,9,5,"Italy",NA,NA,43.32,10.37,43.32,10.37
NA,NA,NA,NA,1973,NA,NA,"Italy",NA,NA,43.35,10.45,43.35,10.45
NA,2000,"ca. 2000",NA,1973,NA,NA,"Turkey",NA,NA,40.87,29.11,40.87,29.11
"520",1500,"1500","520",1974,5,NA,"Italy","tuna net",NA,37.99,12.43,37.99,12.43
"450",NA,NA,"ca. 450",1974,8,14,"Italy",NA,NA,40.1,8.49,40.1,8.49
"500",NA,NA,"Ca. 500",1974,8,10,"Croatia",NA,NA,43.41,16.77,43.37,16.77
NA,NA,NA,NA,1974,NA,NA,"Italy",NA,NA,44.4,8.9,44.4,8.9
"610",1500,"1500","700-520",1974,NA,NA,"Italy","tuna trap",NA,37.94,12.34,37.94,12.34
NA,NA,NA,NA,1974,NA,NA,"Greece",NA,NA,39.56,23.17,39.56,23.17
NA,NA,NA,NA,1974,NA,NA,"Croatia",NA,NA,43.04,17.42,43.04,17.42
NA,NA,NA,NA,1974,NA,NA,"Croatia",NA,NA,43.04,17.42,43.04,17.42
NA,NA,NA,NA,1974,NA,NA,"Croatia",NA,NA,43.04,17.42,43.04,17.42
"524",NA,NA,"620 (427)",1975,2,NA,"Italy","tuna trap",NA,41.24,9.16,41.23,9.16
"603.2",1000,"1000","650",1975,3,1,"Italy","tuna gillnets",NA,41.25,9.14,41.27,9.14
NA,NA,NA,NA,1975,6,15,"Italy",NA,NA,43.35,10.45,43.35,10.45
"462.3",NA,NA,"500",1975,9,NA,"Italy",NA,NA,43.3,10.33,43.3,10.33
NA,NA,NA,NA,1975,NA,NA,"Italy","gill net",NA,39.77,8.45,39.68,8.33
NA,NA,NA,NA,1975,NA,NA,"Italy","tuna trap",NA,37.97,12.27,37.96,12.38
NA,NA,NA,NA,1975,NA,NA,"Italy","tuna trap",NA,37.97,12.27,37.96,12.38
NA,NA,NA,NA,1975,NA,NA,"Italy","tuna trap",NA,37.97,12.27,37.96,12.38
"400",NA,NA,"400",1975,NA,NA,"Italy",NA,NA,37.07,15.3,37.07,15.3
"535",2000,"2000","between 450 and 600 cm",1975,6,NA,"Tunisia","tuna trap",NA,35.8,11.02,35.8,11.02
NA,NA,NA,NA,1975,NA,NA,"Tunisia",NA,NA,37.28,9.89,37.28,9.89
"523",NA,NA,"523",1975,NA,NA,"Tunisia",NA,NA,36.89,10.61,36.89,10.61
NA,NA,NA,NA,1975,NA,NA,"Tunisia",NA,NA,37.13,10.82,37.13,10.82
"488",1201,">1200","488",1976,2,NA,"Spain","enclosed tuna nets",NA,39.94,3.18,39.94,3.19
"608.8",2500,"2500","615, 610 (est picture), 642 (est Moillet and Caillet, 1996), 568 (est from TOT)",1976,2,5,"Spain","tuna trap",NA,39.7,3.02,39.86,3.31
NA,NA,NA,NA,1976,5,21,"Italy",NA,NA,42.09,11.78,42.09,11.78
"468",1100,"ca. 1100","470 or 400 or ca. 500",1976,8,14,"Italy","tuna trap",NA,40.04,8.38,40.04,8.38
"599",NA,NA,"<600",1976,9,8,"France","trammel net",NA,41.91,8.77,41.91,8.77
"400",NA,NA,"± 400",1976,NA,NA,"Italy","tuna trap",NA,39.14,8.28,39.18,8.32
NA,NA,NA,NA,1976,NA,NA,"Italy",NA,NA,35.49,12.6,35.49,12.6
"450",NA,NA,"450",1976,NA,NA,"France",NA,NA,43.39,3.7,43.39,3.7
NA,NA,NA,NA,1976,NA,NA,"Italy",NA,NA,41.25,9.2,41.25,9.2
"400",NA,NA,"400",1976,3,21,"Tunisia",NA,NA,33.49,11.13,33.49,11.13
NA,NA,NA,NA,1976,NA,NA,"Tunisia",NA,NA,37.13,10.82,37.13,10.82
NA,NA,NA,NA,1976,NA,NA,"Tunisia",NA,NA,34.2,10.79,34.2,10.79
NA,NA,NA,NA,1976,NA,NA,"Tunisia",NA,NA,36.83,11.1,36.83,11.1
NA,NA,NA,NA,1976,NA,NA,"Tunisia",NA,NA,37.52,8.94,37.52,8.94
"398",NA,NA,"± 400 (396)",1977,2,NA,"Italy","tuna trap",NA,41.24,9.16,41.23,9.16
"580",NA,NA,"580",1977,6,NA,"Italy","tuna trap",NA,41.24,9.16,41.23,9.16
"220",NA,NA,"220",1977,8,NA,"Italy",NA,NA,37.64,12.59,37.64,12.59
"135",NA,NA,"135",1977,8,NA,"Italy","bottom trawl",NA,37.64,12.59,37.64,12.59
"700",NA,NA,"700",1977,10,26,"Italy",NA,NA,43.55,10.22,43.55,10.22
NA,NA,NA,NA,1977,NA,NA,"Italy",NA,NA,35.5,12.57,35.5,12.57
"192",NA,NA,"± 200 (183)",1978,4,NA,"Italy","tuna trap",NA,41.24,9.16,41.23,9.16
"200",NA,NA,"200",1978,4,NA,"Italy","tuna trap",NA,41.2,9.22,41.23,9.16
NA,NA,NA,NA,1978,6,NA,"Italy",NA,NA,45.6,12.89,45.6,12.89
"490",NA,NA,"480-500",1978,6,7,"Italy",NA,NA,45.39,13.03,45.39,13.03
"500",NA,NA,"500",1978,6,NA,"Italy",NA,NA,45.39,12.36,45.39,12.36
"202",NA,NA,"202",1978,8,NA,"Italy",NA,NA,36.76,11.97,36.76,11.97
"220",NA,NA,"220",1978,8,NA,"Italy","net",NA,37.64,12.59,37.64,12.59
"500",NA,NA,"Ca. 500",1978,9,16,"Italy",NA,NA,41.44,12.63,41.42,12.59
"500",800,"800","Ca. 500",1978,NA,NA,"Italy","drift net",NA,39.31,16.02,39.31,16.02
"697.2",1450,"1450","750",1978,NA,NA,"Italy","tuna gillnets",NA,41.25,9.14,41.25,9.14
NA,1600,"Ca. 1600",NA,1978,NA,NA,"Italy","tuna trap",NA,37.94,12.28,37.94,12.34
"250",NA,NA,"250",1979,1,5,"Croatia",NA,NA,43.1,17.34,43.1,17.34
"400",NA,NA,"400",1979,5,NA,"Malta",NA,NA,35.79,14.41,35.79,14.41
"200",NA,NA,"200",1979,6,NA,"Italy",NA,NA,35.56,12.32,35.56,12.32
"585",NA,NA,"620 or 550",1979,9,18,"Italy","trammel net",NA,40.06,17.99,40.02,17.91
"220",NA,NA,"220",1979,5,NA,"Tunisia",NA,NA,37.09,11.03,37.09,11.03
"510",NA,NA,"500 or 520",1979,6,NA,"Tunisia",NA,NA,37.1,11.03,37.1,11.03
NA,NA,NA,NA,1980,1,1,"Greece",NA,NA,37.35,26.62,37.35,26.62
"555",NA,NA,"555",1980,3,NA,"Morocco",NA,NA,35.62,-5.24,35.62,-5.24
"487",NA,NA,"400 or 520 or 540",1980,4,25,"Italy","tuna trap",NA,37.94,12.28,37.94,12.34
"577",1600,"1600","520 or 560 or 650",1980,4,24,"Italy","tuna trap",NA,37.94,12.28,37.94,12.34
NA,NA,NA,NA,1980,NA,NA,"Italy",NA,NA,37.5,13.07,37.5,13.07
"185",NA,NA,"185",1980,4,21,"Tunisia",NA,NA,33.5,11.13,33.5,11.13
"600",1030,"1030","ca. 600",1981,5,NA,"Italy","tuna trap",NA,38.06,12.59,38.07,12.59
"620",2200,"2200","620",1981,7,1,"Greece","net",NA,40.06,23.72,40.06,23.72
"202",NA,NA,"202",1981,8,NA,"Italy",NA,NA,36.73,11.99,36.73,11.99
"600",NA,NA,"600",1981,8,NA,"Italy",NA,NA,43.93,12.9,43.93,12.9
NA,NA,NA,NA,1981,NA,NA,"Italy","tuna trap",NA,37.93,12.33,37.94,12.34
"185",NA,NA,"185",1981,8,NA,"Tunisia",NA,NA,37.09,11.03,37.09,11.03
"650",1300,"1300","Ca. 600-700",1982,5,NA,"Italy","tuna trap",NA,38.07,12.82,38.07,12.82
"600",NA,NA,"600",1982,NA,NA,"Italy",NA,NA,42.76,10.31,42.76,10.31
NA,NA,NA,NA,1982,NA,NA,"Italy",NA,NA,42.8,10.26,42.8,10.26
"500",NA,NA,"Ca. 500",1982,NA,NA,"Malta",NA,NA,36.01,14.23,36.01,14.23
"300",NA,NA,"Ca. 300",1983,6,15,"Italy",NA,NA,44.1,9.74,44.09,9.71
"500",NA,NA,"500",1983,8,18,"Malta",NA,NA,35.81,14.56,35.81,14.56
"300",NA,NA,"300",1983,8,13,"Italy","tuna trap",NA,37.93,12.17,37.93,12.17
"142",NA,NA,"142",1983,8,10,"Italy",NA,NA,37.64,12.58,37.64,12.58
"155",NA,NA,"155",1983,8,11,"Italy","net",NA,37.64,12.58,37.64,12.58
"175",NA,NA,"175",1983,6,NA,"Tunisia",NA,NA,37.09,11.03,37.09,11.03
"350",NA,NA,"350",1984,7,NA,"Italy","longline",NA,43,10.51,43,10.51
"300",NA,NA,"Ca. 300",1984,7,NA,"Italy","longline",NA,43,10.51,43,10.51
"500",825,"800 or 850","500",1984,9,NA,"France","commercial net",NA,41.46,8.91,41.46,8.91
"527",1500,"ca. 1500","ca. 527",1984,9,14,"France","trammel net",NA,41.46,8.91,41.45,8.92
NA,NA,NA,NA,1984,12,NA,"Italy",NA,NA,42.81,10.2,42.81,10.2
"700",NA,NA,"700",1984,12,NA,"Greece",NA,NA,38.38,22.65,38.33,22.6
